baralho,id,carta,tag,peso_carta,peso_tag,peso_total,media,mediana,moda,moda_pct,desvio,p10,p90,pct_5_primeiras,pct_5_ultimas,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,pos_24,pos_25,pos_26,pos_27,pos_28,pos_29,pos_30,pos_31,pos_32,pos_33,pos_34,pos_35,pos_36,pos_37,pos_38,pos_39,pos_40,pos_41,pos_42,pos_43,pos_44
"Cartas Eróticas","2","Simule penetração com a roupa, fazendo movimentos intensos no colo do parceiro.","30 sec",-0.18,-0.1,-0.28,10.00,9,2,12.00,7.07,2,21,34.00,8.00,3,6,2,3,3,4,2,2,1,1,2,3,4,2,2,1,2,1,0,0,1,1,0,1,2,1,0,,,,,,,,,,,,,,,,,
"Cartas Eróticas","17","Chupe o dedo do parceiro como se estivesse fazendo sexo oral.","30 sec",-0.17,-0.1,-0.27,10.00,9,5,12.00,6.32,2,18,34.00,2.00,3,3,4,1,6,3,1,3,2,0,3,4,2,0,2,1,5,3,1,1,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,
"Cartas Eróticas","15","Beije e morda levemente as nádegas do parceiro, depois lamba intensamente.","30 sec",-0.13,-0.1,-0.23,10.92,10,2,10.00,7.99,2,25,38.00,12.00,3,5,4,3,4,1,2,2,1,2,1,1,2,1,4,1,3,1,1,1,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,
"Cartas Eróticas","28","Deite-se e deixe o parceiro usar o corpo inteiro para se esfregar em você.","30 sec",-0.15,-0.1,-0.25,11.32,10,2,12.00,7.98,2,24,32.00,12.00,3,6,1,2,4,1,4,3,1,2,2,1,2,0,3,1,1,0,2,1,1,3,0,3,1,1,1,,,,,,,,,,,,,,,,,
"Cartas Eróticas","3","Chupe o mamilo do parceiro enquanto estimula com a mão entre as pernas.","30 sec",-0.05,-0.1,-0.15,11.68,11,1,8.00,7.99,2,23,30.00,16.00,4,2,4,3,2,4,1,1,1,3,2,1,1,4,1,2,1,0,2,1,1,1,3,1,2,1,1,,,,,,,,,,,,,,,,,
"Cartas Eróticas","31","Pincele.","40 sec",-0.14,0,-0.14,11.98,12,7,10.00,6.54,4,21,12.00,8.00,3,0,1,2,0,4,5,3,2,3,2,4,4,1,1,4,0,1,3,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,
"Cartas Eróticas","1","Lamba lentamente a genitália do parceiro, usando só a ponta da língua.","30 sec",0.03,-0.1,-0.07,12.14,12,4,8.00,7.32,3,22,26.00,6.00,3,2,3,4,1,1,3,1,2,3,0,3,0,3,3,2,2,2,2,2,1,4,0,2,0,0,1,,,,,,,,,,,,,,,,,
"Cartas Eróticas","26","Lamba a parte interna das coxas do parceiro lentamente até ele(a) implorar por mais.","30 sec",-0.13,-0.1,-0.23,12.22,12,19,10.00,6.53,4,21,16.00,6.00,3,1,1,2,1,3,4,2,3,0,3,4,3,1,0,4,2,0,5,2,3,0,1,2,0,0,0,,,,,,,,,,,,,,,,,
"Cartas Eróticas","5","Lamba o parceiro da nuca até a virilha, sem pular nenhuma parte.","40 sec",-0.14,0,-0.14,12.48,12,8,10.00,7.09,4,22,16.00,10.00,2,1,2,3,0,3,3,5,2,2,2,0,3,4,3,0,2,1,0,2,3,2,2,1,0,0,2,,,,,,,,,,,,,,,,,
"Cartas Eróticas","8","Use a boca para molhar e estimular os testículos ou clitóris do parceiro.","30 sec",0.03,-0.1,-0.07,12.94,14,3,12.00,8.31,3,25,30.00,20.00,3,0,6,2,4,1,3,1,1,0,2,0,2,2,3,3,2,0,2,0,3,0,3,0,3,2,2,,,,,,,,,,,,,,,,,
"Cartas Eróticas","18","Introduza dois dedos no parceiro enquanto o masturba com a outra mão.","30 sec",0.1,-0.1,0.00,13.12,14,5,10.00,7.94,3,23,28.00,14.00,3,2,2,2,5,1,1,3,1,1,2,0,2,1,1,3,0,4,3,0,4,2,2,1,2,2,0,,,,,,,,,,,,,,,,,
"Cartas Eróticas","14","Masturbe o parceiro com as duas mãos enquanto beija o pescoço dele(a).","30 sec",-0.06,-0.1,-0.16,13.70,13,8,10.00,8.23,3,25,24.00,24.00,3,2,1,3,3,1,0,5,1,2,1,3,1,0,2,1,1,1,3,3,1,0,4,2,3,2,1,,,,,,,,,,,,,,,,,
"Cartas Eróticas","9","Sente-se sobre o rosto do parceiro para receber um oral intenso.","40 sec",0.08,0,0.08,13.84,13,10,12.00,7.22,5,24,12.00,16.00,1,3,0,1,1,4,2,0,1,6,2,2,3,2,3,2,1,1,0,4,1,2,2,2,1,1,2,,,,,,,,,,,,,,,,,
"Cartas Eróticas","7","Coloque-se de quatro e ofereça o corpo para o parceiro explorar à vontade.","40 sec",-0.03,0,-0.03,13.92,16,9,10.00,7.52,4,24,14.00,16.00,1,3,1,1,1,3,2,3,5,2,0,1,1,0,0,4,2,5,1,1,3,2,2,1,3,2,0,,,,,,,,,,,,,,,,,
"Cartas Eróticas","25","Realize sexo oral enquanto o parceiro filma com o celular.","40 sec",0.12,0,0.12,13.92,12,22,12.00,7.44,4,24,16.00,16.00,0,0,4,2,2,3,0,0,5,3,5,3,1,3,0,1,0,0,2,1,1,6,1,2,1,4,0,,,,,,,,,,,,,,,,,
"Cartas Eróticas","12","Fique totalmente nu e use os pés para tocar e masturbar o parceiro.","30 sec",0.2,-0.1,0.10,14.00,14,2,8.00,7.78,3,24,22.00,20.00,1,4,1,3,2,1,0,1,3,3,1,2,0,4,0,3,3,2,2,0,1,3,4,1,2,3,0,,,,,,,,,,,,,,,,,
"Cartas Eróticas","23","Masturbe-se na frente do parceiro até quase gozar.","",0,0,0.00,14.38,15,11,12.00,7.45,3,24,16.00,20.00,0,2,4,0,2,1,3,2,0,2,6,0,1,2,1,0,3,4,2,4,1,0,2,4,1,2,1,,,,,,,,,,,,,,,,,
"Cartas Eróticas","29","Fique em cima e realize a penetração com movimentos circulares, sem pressa.","40 sec",0.17,0,0.17,14.60,15,18,10.00,7.57,4,26,16.00,18.00,2,1,1,3,1,2,1,1,3,1,2,2,1,2,3,2,1,5,2,2,0,3,3,0,0,4,2,,,,,,,,,,,,,,,,,
"Cartas Eróticas","6","Introduza um dedo (ou brinquedo) no parceiro enquanto beija profundamente.","40 sec",0.09,0,0.09,15.38,16,24,10.00,7.94,3,25,16.00,32.00,2,3,2,0,1,1,0,2,2,2,0,3,2,1,3,3,1,2,2,2,0,0,4,5,5,1,1,,,,,,,,,,,,,,,,,
"Cartas Eróticas","11","Realize sexo oral com movimentos profundos e intensos.","40 sec",0.07,0,0.07,16.02,16,21,12.00,6.78,7,24,6.00,22.00,2,1,0,0,0,2,3,0,1,2,0,3,3,4,4,0,1,4,1,0,6,2,2,6,2,1,0,,,,,,,,,,,,,,,,,
"Cartas Eróticas","19","Sente-se no parceiro e comece uma penetração (real) bem lenta.","90 sec",0.17,0.1,0.27,16.28,17,27,14.00,8.16,5,27,14.00,28.00,1,1,1,2,2,0,3,4,0,1,1,0,0,3,2,3,4,2,0,2,4,0,0,1,1,5,7,,,,,,,,,,,,,,,,,
"Cartas Eróticas","27","Penetração com as pernas apoiadas nos ombros do parceiro.","90 sec",0.19,0.1,0.29,16.66,18,22,12.00,7.23,5,25,12.00,24.00,1,0,1,3,1,1,1,1,0,1,2,2,2,2,3,0,3,2,3,2,1,6,3,3,2,0,4,,,,,,,,,,,,,,,,,
"Cartas Eróticas","20","Coloque-se por cima e conduza o ritmo da penetração com intensidade.","90 sec",0.18,0.1,0.28,16.80,18,25,8.00,7.19,7,25,6.00,30.00,1,1,0,1,0,1,2,1,3,3,1,2,2,0,2,1,3,3,3,1,3,1,3,3,4,2,3,,,,,,,,,,,,,,,,,
"Cartas Eróticas","30","Finalizem com orgasmo real (ou cheguem o mais perto possível). Sem pausas.","40 sec",0.24,0,0.24,16.92,17,27,12.00,6.99,8,27,2.00,28.00,0,0,0,0,1,2,0,3,5,1,3,2,3,3,0,1,2,1,2,3,3,1,0,4,1,3,6,,,,,,,,,,,,,,,,,
"Cartas Eróticas","21","Escolha uma posição do Kama Sutra e execute com penetração intensa.","90 sec",0.19,0.1,0.29,17.38,20,20,14.00,7.95,4,26,14.00,28.00,1,0,3,3,0,0,2,0,3,0,1,1,2,1,0,0,1,3,1,7,1,6,1,1,4,3,5,,,,,,,,,,,,,,,,,
"Cartas Eróticas","16","Coloque o parceiro contra a parede, abaixe a roupa e provoque com penetração.","40 sec",0.15,0,0.15,17.58,19,16,10.00,6.57,8,26,6.00,30.00,0,0,1,0,2,0,2,1,0,2,3,2,2,1,0,5,2,1,5,3,2,1,3,2,3,5,2,,,,,,,,,,,,,,,,,
"Cartas Eróticas","24","Receba penetração por trás (estilo 'cachorrinho'), mantendo o olhar para trás.","90 sec",0.18,0.1,0.28,17.82,20,27,12.00,7.24,6,27,8.00,34.00,1,1,0,1,1,2,0,0,1,2,1,1,1,3,4,2,2,1,0,4,3,2,4,2,3,2,6,,,,,,,,,,,,,,,,,
"Baralho da Ousadia","68","De um beijo no seu parceiro e morda lentamente o lábio dele.","Beijo",-0.1,-0.1,-0.20,15.64,14,2,8.00,11.93,2,38,30.00,2.00,3,4,3,2,3,1,2,0,1,2,0,1,3,0,1,2,2,2,1,2,0,2,1,0,2,1,1,1,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,0
"Baralho da Ousadia","18","Com os dedos, encontre uma maneira de provocar arrepios no seu parceiro agora.","Provocação",-0.1,-0.15,-0.25,16.44,12,5,10.00,12.21,3,35,30.00,2.00,2,3,2,3,5,0,0,3,2,0,5,1,0,1,1,0,1,1,0,0,0,2,2,1,1,2,1,1,0,1,2,0,0,1,2,1,0,1,1,0,0,0,1,0
"Baralho da Ousadia","51","Falar o ato erótico que você mais gosta do seu parceiro.","Provocação",-0.18,-0.15,-0.33,17.26,17,1,6.00,11.12,3,33,18.00,4.00,3,1,2,3,0,1,2,1,2,1,1,2,0,2,1,2,3,2,2,2,1,2,2,1,0,0,1,0,0,1,1,1,3,1,0,0,0,0,1,1,0,1,0,0
"Baralho da Ousadia","44","Beije suavemente o lábio inferior do seu parceiro.","Beijo",-0.14,-0.1,-0.24,17.80,18,20,8.00,11.12,4,33,18.00,6.00,1,1,2,2,3,1,2,1,1,3,0,0,2,1,1,1,3,0,3,4,2,3,2,0,0,1,1,1,0,0,1,0,2,0,0,1,0,0,1,1,1,0,0,1
"Baralho da Ousadia","9","Fale no ouvido dele a coisa mais ousada que você gostaria de fazer esta noite.","Provocação",-0.16,-0.15,-0.31,18.04,19,1,10.00,11.52,2,32,22.00,0.00,5,3,1,2,0,0,1,1,0,3,0,1,1,2,3,1,0,0,3,0,1,0,0,1,3,5,2,3,2,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0
"Baralho da Ousadia","74","De um beijo molhado no seu parceiro.","Beijo",-0.11,-0.1,-0.21,18.56,15,3,8.00,12.70,3,39,16.00,8.00,1,1,4,2,0,3,2,2,2,2,0,2,0,3,2,0,1,1,0,1,2,0,2,0,0,0,3,1,0,1,3,0,0,0,1,0,2,0,2,3,1,0,0,0
"Baralho da Ousadia","13","Toque suavemente o corpo do seu parceiro com o seu peito.","Provocação",-0.11,-0.15,-0.26,19.32,19,24,10.00,11.42,5,35,12.00,4.00,1,1,1,2,1,3,0,1,2,4,1,2,0,1,3,0,1,0,2,0,0,1,1,5,2,1,1,1,2,0,1,1,1,0,2,0,2,1,0,1,0,1,0,0
"Baralho da Ousadia","55","Seduza seu parceiro com os dedos.","Provocação",-0.06,-0.15,-0.21,19.70,19,5,10.00,11.74,5,36,18.00,4.00,1,0,1,2,5,1,0,1,0,1,3,4,1,1,1,0,1,2,2,1,0,1,1,1,0,3,2,0,0,1,1,4,0,1,1,1,2,1,0,0,1,1,0,0
"Baralho da Ousadia","49","Faça o que quiser com a bunda do seu parceiro. Não tenha pressa.","Provocação",0.1,-0.15,-0.05,20.04,18,2,6.00,14.19,3,39,20.00,10.00,2,3,3,0,2,2,0,2,1,3,0,3,2,0,1,0,1,3,1,0,1,0,0,1,0,0,1,0,0,0,2,0,2,0,2,3,1,1,2,0,2,2,0,1
"Baralho da Ousadia","77","Sente-se no colo do seu parceiro até a próxima turno.","Provocação",-0.03,-0.15,-0.18,20.06,19,4,8.00,13.12,4,37,18.00,8.00,1,3,1,4,0,1,1,1,1,3,0,1,3,2,0,2,0,0,2,1,2,1,1,0,0,1,2,1,0,0,1,2,0,0,3,3,1,1,0,0,1,1,1,1
